measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,6,China,1,Male,1,<5 years,495,Ischemic stroke,1,Number,2021,18.29649668,26.56008341,12.44135224
1,Deaths,6,China,2,Female,1,<5 years,495,Ischemic stroke,1,Number,2021,12.54549313,18.40303824,7.964799736
1,Deaths,6,China,3,Both,1,<5 years,495,Ischemic stroke,1,Number,2021,30.84198981,42.99531593,20.54290176
1,Deaths,6,China,1,Male,1,<5 years,495,Ischemic stroke,2,Percent,2021,0.000357479,0.000500488,0.000255068
1,Deaths,6,China,2,Female,1,<5 years,495,Ischemic stroke,2,Percent,2021,0.000359121,0.000514466,0.000236605
1,Deaths,6,China,3,Both,1,<5 years,495,Ischemic stroke,2,Percent,2021,0.000358115,0.000485313,0.000251447
1,Deaths,6,China,1,Male,1,<5 years,495,Ischemic stroke,3,Rate,2021,0.043949578,0.063799342,0.029885075
1,Deaths,6,China,2,Female,1,<5 years,495,Ischemic stroke,3,Rate,2021,0.034812203,0.051066172,0.022101341
1,Deaths,6,China,3,Both,1,<5 years,495,Ischemic stroke,3,Rate,2021,0.039709889,0.055357623,0.026449537
1,Deaths,6,China,1,Male,6,5-9 years,495,Ischemic stroke,1,Number,2021,14.65664816,20.52550763,10.35709702
1,Deaths,6,China,2,Female,6,5-9 years,495,Ischemic stroke,1,Number,2021,9.487049901,13.15795157,6.600526003
1,Deaths,6,China,3,Both,6,5-9 years,495,Ischemic stroke,1,Number,2021,24.14369807,32.6068741,17.14286137
1,Deaths,6,China,1,Male,6,5-9 years,495,Ischemic stroke,2,Percent,2021,0.001044405,0.001410905,0.000761933
1,Deaths,6,China,2,Female,6,5-9 years,495,Ischemic stroke,2,Percent,2021,0.001274148,0.001668643,0.000902533
1,Deaths,6,China,3,Both,6,5-9 years,495,Ischemic stroke,2,Percent,2021,0.001124042,0.001458098,0.000822207
1,Deaths,6,China,1,Male,6,5-9 years,495,Ischemic stroke,3,Rate,2021,0.028770718,0.040291177,0.020330782
1,Deaths,6,China,2,Female,6,5-9 years,495,Ischemic stroke,3,Rate,2021,0.02116348,0.029352438,0.014724293
1,Deaths,6,China,3,Both,6,5-9 years,495,Ischemic stroke,3,Rate,2021,0.025209982,0.034046926,0.01789996
1,Deaths,6,China,1,Male,7,10-14 years,495,Ischemic stroke,1,Number,2021,15.09970657,19.94710634,10.91717136
1,Deaths,6,China,2,Female,7,10-14 years,495,Ischemic stroke,1,Number,2021,7.134398111,9.656277316,5.153470884
1,Deaths,6,China,3,Both,7,10-14 years,495,Ischemic stroke,1,Number,2021,22.23410468,28.42871479,16.48255141
1,Deaths,6,China,1,Male,7,10-14 years,495,Ischemic stroke,2,Percent,2021,0.001318576,0.00169518,0.000991354
1,Deaths,6,China,2,Female,7,10-14 years,495,Ischemic stroke,2,Percent,2021,0.0012733,0.001638251,0.000940733
1,Deaths,6,China,3,Both,7,10-14 years,495,Ischemic stroke,2,Percent,2021,0.001303566,0.001638523,0.000992705
1,Deaths,6,China,1,Male,7,10-14 years,495,Ischemic stroke,3,Rate,2021,0.032830798,0.043370341,0.023736848
1,Deaths,6,China,2,Female,7,10-14 years,495,Ischemic stroke,3,Rate,2021,0.017747061,0.024020322,0.012819436
1,Deaths,6,China,3,Both,7,10-14 years,495,Ischemic stroke,3,Rate,2021,0.025795733,0.032982643,0.019122852
1,Deaths,6,China,1,Male,8,15-19 years,495,Ischemic stroke,1,Number,2021,56.47753954,74.58643727,42.13968833
1,Deaths,6,China,2,Female,8,15-19 years,495,Ischemic stroke,1,Number,2021,30.86026515,40.04447974,24.28916319
1,Deaths,6,China,3,Both,8,15-19 years,495,Ischemic stroke,1,Number,2021,87.3378047,108.2668362,68.54353646
1,Deaths,6,China,1,Male,8,15-19 years,495,Ischemic stroke,2,Percent,2021,0.003149351,0.003719415,0.002611369
1,Deaths,6,China,2,Female,8,15-19 years,495,Ischemic stroke,2,Percent,2021,0.004185384,0.005136096,0.003439617
1,Deaths,6,China,3,Both,8,15-19 years,495,Ischemic stroke,2,Percent,2021,0.003452473,0.004023481,0.002946058
1,Deaths,6,China,1,Male,8,15-19 years,495,Ischemic stroke,3,Rate,2021,0.140902139,0.18608085,0.105131567
1,Deaths,6,China,2,Female,8,15-19 years,495,Ischemic stroke,3,Rate,2021,0.089218998,0.115771149,0.070221522
1,Deaths,6,China,3,Both,8,15-19 years,495,Ischemic stroke,3,Rate,2021,0.116961677,0.14498957,0.091792632
1,Deaths,6,China,1,Male,9,20-24 years,495,Ischemic stroke,1,Number,2021,122.1133524,159.7768362,90.87056311
1,Deaths,6,China,2,Female,9,20-24 years,495,Ischemic stroke,1,Number,2021,56.38170461,77.54378518,40.78568887
1,Deaths,6,China,3,Both,9,20-24 years,495,Ischemic stroke,1,Number,2021,178.4950571,221.1739209,142.4531517
1,Deaths,6,China,1,Male,9,20-24 years,495,Ischemic stroke,2,Percent,2021,0.004068616,0.004774419,0.003413507
1,Deaths,6,China,2,Female,9,20-24 years,495,Ischemic stroke,2,Percent,2021,0.005353091,0.00652239,0.004554961
1,Deaths,6,China,3,Both,9,20-24 years,495,Ischemic stroke,2,Percent,2021,0.004404129,0.005022873,0.003825524
1,Deaths,6,China,1,Male,9,20-24 years,495,Ischemic stroke,3,Rate,2021,0.314178533,0.411080778,0.233795729
1,Deaths,6,China,2,Female,9,20-24 years,495,Ischemic stroke,3,Rate,2021,0.164346265,0.226031326,0.11888565
1,Deaths,6,China,3,Both,9,20-24 years,495,Ischemic stroke,3,Rate,2021,0.243931823,0.302256873,0.194676859
