Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0629,0.2427951501749873,0.058307339969230446,0.06782835140641504,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.044822539999999994,0.1730158240147153,0.04093889702121109,0.04905575778480631,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.010227539999999999,0.039478491418450945,0.008435065818631274,0.01239615783465326,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.007849919999999998,0.030300834741836258,0.006299247018191631,0.009778562639505077,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.0717,0.2580034235754697,0.06680624161352472,0.07692269139079685,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_noncvd_death,0.3563,0.47892927173511396,0.3469704488036355,0.3657399123280969,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_stroke_event,1.0916,1.0874408916209017,1.0707,1.1131,0.0,0.0,1.0,3.0,4.0,0.0,6.0
t_IS_event,0.7778741600000001,0.7749103793690725,0.76298082,0.79326632,0.0,0.0,0.7126,2.1378,2.8504,0.0,4.2756
t_HS_event,0.17749416,0.17681788897755973,0.17409582,0.18103883999999998,0.0,0.0,0.1626,0.4878,0.6504,0.0,0.9756
t_US_event,0.13623168,0.13571262327429426,0.13363584,0.138877752,0.0,0.0,0.1248,0.37439999999999996,0.4992,0.0,0.7487999999999999
t_chd_event,0.4176,0.58158753804256,0.4062,0.4291,0.0,0.0,0.0,1.0,2.0,0.0,4.0
Cost,7307.55376902665,5490.43106527132,7199.943297551334,7415.164240501967,232.15508000000003,734.6753188538034,6228.017750103267,14842.373899773094,19642.48297006833,129.26508,35538.85096660015
QALY,5.533840150284127,2.210097540378729,5.490523034469498,5.577157266098756,0.8799999999999999,1.7343689320388347,6.2489607954620645,7.712358375525455,7.7317758512536106,0.74,7.7317758512536106
t_stroke_death_annual,0.02264170634920635,0.11362959038603118,0.01990420246025911,0.025745819852135317,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_IS_death_annual,0.016134479944444446,0.08097244610909998,0.01384436470298688,0.018796202328557846,0.0,0.0,0.0,0.0,0.23753333333333335,0.0,0.7126
t_HS_death_annual,0.003681541452380952,0.018476171396772233,0.0026701185594020555,0.00507413530419786,0.0,0.0,0.0,0.0,0.0542,0.0,0.1626
t_US_death_annual,0.002825684952380952,0.014180972880178725,0.001959035564247206,0.004074162594355775,0.0,0.0,0.0,0.0,0.0416,0.0,0.1248
t_chd_death_annual,0.025340198412698415,0.11992323987475252,0.022437464322966384,0.028607469683300846,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.11159337301587302,0.22119325879312499,0.10557065244586036,0.11791438860972947,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0
t_stroke_event_annual,0.14821357142857142,0.16821990657332486,0.1448938878968254,0.15151627777777776,0.0,0.0,0.1,0.3333333333333333,0.5,0.0,1.0
t_IS_event_annual,0.10561699100000001,0.1198735054241487,0.10326022980416669,0.10794256251388891,0.0,0.0,0.07126,0.23753333333333335,0.3563,0.0,0.7126
t_HS_event_annual,0.024099526714285717,0.027352556808824098,0.023571925686309527,0.024644329144642853,0.0,0.0,0.01626,0.0542,0.0813,0.0,0.1626
t_US_event_annual,0.018497053714285717,0.02099384434035131,0.018085973038095237,0.018904353866666664,0.0,0.0,0.01248,0.0416,0.0624,0.0,0.1248
t_chd_event_annual,0.06432265873015873,0.1295025257198747,0.061901033730158726,0.06689563690476191,0.0,0.0,0.0,0.2,0.3333333333333333,0.0,1.0
t_Cost_annual,999.5176958858142,817.8351581097994,983.4884213339559,1015.5469704376725,136.8506050749364,213.48508,864.8097637724296,1865.9903775682494,2949.774398366379,113.57370726754161,9395.604314642613
t_QALY_annual,0.7540147855485473,0.08174375550048481,0.7524126373811273,0.7556169337159673,0.5803718623533735,0.6218364306561119,0.7697820657761438,0.8546177773588463,0.8799999999999999,0.5421653122636754,0.8799999999999999
t_stroke_deathage,67.01271860095389,11.950794702887379,66.07877735822058,67.9466598436872,41.0,51.0,67.0,82.0,88.0,36.0,96.0
t_chd_deathage,67.95676429567644,12.590435964800891,67.03519227327689,68.87833631807598,41.0,51.0,70.0,83.0,88.0,36.0,96.0
t_noncvd_deathage,77.96772382823464,9.334168156967763,77.66123418728806,78.27421346918122,56.0,66.0,79.0,89.0,93.0,38.0,99.0
t_deathage,75.10185373803219,11.24451394925403,74.78730187446519,75.4164056015992,48.0,59.0,77.0,88.0,92.0,36.0,99.0
t_timeperiod,7.559,3.172526673260328,7.496819619804171,7.621180380195829,1.0,2.0,10.0,10.0,10.0,1.0,10.0
