Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.065,0.2465381879300262,0.06033326197917361,0.07000081660331503,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.046319000000000006,0.1756831127189155,0.04237096563415131,0.05061545989546254,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.010569,0.04008710935742009,0.008744254335898686,0.012769627077218548,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.008112,0.03076796585366348,0.006533003203980993,0.010068765177129744,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.0737,0.26129511574800446,0.0687410315233171,0.07898636548752176,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_noncvd_death,0.3056,0.46068412495578237,0.29664728286115233,0.31470201570536666,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_stroke_event,1.1374,1.099018664173811,1.1162975000000002,1.1589,0.0,0.0,1.0,3.0,4.0,0.0,7.0
t_IS_event,0.81051124,0.7831607000903124,0.79504782,0.8259746600000001,0.0,0.0,0.7126,2.1378,2.8504,0.0,4.9882
t_HS_event,0.18494124,0.1787004347946632,0.1814937135,0.18843754650000002,0.0,0.0,0.1626,0.4878,0.6504,0.0,1.1381999999999999
t_US_event,0.14194752000000002,0.13715752928889655,0.13930176,0.14471808,0.0,0.0,0.1248,0.37439999999999996,0.4992,0.0,0.8735999999999999
t_chd_event,0.4309,0.5857128101292769,0.4193,0.4423,0.0,0.0,0.0,1.0,2.0,0.0,4.0
Cost,7591.174502292393,5452.836739394414,7484.300866064495,7698.048138520292,252.16508000000002,1007.0301298918441,6558.7840541600835,15005.313781580515,19641.68068020754,129.26508,35538.85096660015
QALY,5.71555016393984,2.1434646574057816,5.673539028633342,5.757561299246338,0.8799999999999999,1.7343689320388347,6.346387170368089,7.713473018066548,7.7317758512536106,0.74,7.7317758512536106
t_stroke_death_annual,0.02322706349206349,0.11504685310573268,0.020452863173369005,0.02636742387236146,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_IS_death_annual,0.016551605444444444,0.08198238752314288,0.014230247748778381,0.019244249931741605,0.0,0.0,0.0,0.0,0.23753333333333335,0.0,0.7126
t_HS_death_annual,0.0037767205238095243,0.0187066183149896,0.0027502705981550203,0.005184268311085336,0.0,0.0,0.0,0.0,0.0542,0.0,0.1626
t_US_death_annual,0.002898737523809524,0.014357847267595203,0.0020189596156118712,0.004160287581711449,0.0,0.0,0.0,0.0,0.0416,0.0,0.1248
t_chd_death_annual,0.02589531746031746,0.12155293633425605,0.022959776523935774,0.02919496924794991,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.09179880952380953,0.20023960342474018,0.08629524002325033,0.09761587620847094,0.0,0.0,0.0,0.25,1.0,0.0,1.0
t_stroke_event_annual,0.15128678571428572,0.16730886487925517,0.14799216369047621,0.15458545436507937,0.0,0.0,0.1,0.3333333333333333,0.5,0.0,1.0
t_IS_event_annual,0.1078069635,0.11922429711295884,0.10542281669027781,0.11012243136388891,0.0,0.0,0.07126,0.23753333333333335,0.3563,0.0,0.7126
t_HS_event_annual,0.02459923135714286,0.027204421429367555,0.024061796577976184,0.02514000992142857,0.0,0.0,0.01626,0.0542,0.0813,0.0,0.1626
t_US_event_annual,0.018880590857142856,0.020880146336930014,0.01847430594285714,0.01929601316190476,0.0,0.0,0.01248,0.0416,0.0624,0.0,0.1248
t_chd_event_annual,0.06526587301587301,0.13051234053157812,0.06269685119047619,0.06790690476190477,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,1.0
t_Cost_annual,1016.8041538267892,821.9129069100255,1000.6949568670665,1032.913350786512,136.8506050749364,214.01508,882.9531037572157,1863.670109015802,2958.8559823931223,113.57370726754161,9395.604314642613
t_QALY_annual,0.7492760308837203,0.08084946541893503,0.747691410479816,0.7508606512876246,0.5802118881038743,0.6166111320113271,0.7696096545298589,0.8483338046312877,0.8799999999999999,0.548141405125949,0.8799999999999999
t_stroke_deathage,67.52,12.658744853400044,66.54684490867287,68.49315509132713,41.0,49.0,68.5,83.0,89.77499999999998,36.0,96.0
t_chd_deathage,70.1967435549525,11.890263199205256,69.33831171969712,71.05517539020789,45.0,54.0,72.0,85.0,91.0,36.0,96.0
t_noncvd_deathage,80.50261780104712,9.200120597259664,80.17643208703586,80.82880351505838,59.0,68.0,82.0,91.0,96.0,38.0,100.0
t_deathage,76.89376547377898,11.589207835281613,76.5529936443592,77.23453730319876,49.0,61.0,79.0,90.0,95.0,36.0,100.0
t_timeperiod,7.8324,3.0692429465956,7.77224394364869,7.892556056351309,1.0,2.0,10.0,10.0,10.0,1.0,10.0
