Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0434,0.2037660228281763,0.039578711681528336,0.04757195563057352,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.030926839999999997,0.14520366786735575,0.02770975596425082,0.034504170694085415,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.00705684,0.033132355311855974,0.005594910791013581,0.008897347949538763,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.00541632,0.025429999648952383,0.004155493922617765,0.0070569847319487036,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.0634,0.24369320597395344,0.05878956830122822,0.06834573907604657,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_noncvd_death,0.379,0.48516238338705664,0.3695396435453184,0.3885532840603853,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_stroke_event,0.971,1.0257018116492718,0.951,0.9913,0.0,0.0,1.0,2.0,3.0,0.0,7.0
t_IS_event,0.6919346,0.7309151109812582,0.67775386,0.70625786,0.0,0.0,0.7126,1.4252,2.1378,0.0,4.9882
t_HS_event,0.1578846,0.16677911457416755,0.15460008,0.16112034,0.0,0.0,0.1626,0.3252,0.4878,0.0,1.1381999999999999
t_US_event,0.1211808,0.12800758609383076,0.11872224,0.12371423999999999,0.0,0.0,0.1248,0.2496,0.37439999999999996,0.0,0.8735999999999999
t_chd_event,0.3691,0.5572218944226408,0.3583,0.3801,0.0,0.0,0.0,1.0,2.0,0.0,4.0
Cost,6477.383508764921,5020.37296405424,6378.986006779872,6575.781010749971,233.30944,739.5826506701857,5353.056802836935,13589.95527726495,18244.025212445944,130.94944,30674.97002369925
QALY,5.639284435640616,2.2142609272151006,5.595885718943458,5.682683152337774,0.8799999999999999,1.7343689320388347,6.344346167407894,7.714523675565927,7.7317758512536106,0.74,7.7317758512536106
t_stroke_death_annual,0.015488492063492064,0.09448697466904624,0.013247600707382677,0.0181014866788448,0.0,0.0,0.0,0.0,0.2,0.0,1.0
t_IS_death_annual,0.011037099444444445,0.06733141814916273,0.009168965308308446,0.013280755494849715,0.0,0.0,0.0,0.0,0.14252,0.0,0.7126
t_HS_death_annual,0.0025184288095238096,0.015363582081185392,0.001708895919796469,0.0037100259248087014,0.0,0.0,0.0,0.0,0.03252,0.0,0.1626
t_US_death_annual,0.0019329638095238095,0.011791974438696813,0.0012425181739082213,0.0030059233059091255,0.0,0.0,0.0,0.0,0.02496,0.0,0.1248
t_chd_death_annual,0.022726230158730158,0.11435196682859165,0.01998339655744497,0.02583560845998679,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.11679817460317461,0.22372289636773224,0.11064980703187956,0.12324083992765501,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0
t_stroke_event_annual,0.1292017857142857,0.15415063564685794,0.12627796428571428,0.13231263293650797,0.0,0.0,0.1,0.3,0.5,0.0,1.0
t_IS_event_annual,0.09206919250000001,0.1098477429619415,0.08993134301388889,0.09424223509444445,0.0,0.0,0.07126,0.21378,0.3563,0.0,0.7126
t_HS_event_annual,0.021008210357142856,0.025064893356178192,0.02051586659047619,0.02149810980059524,0.0,0.0,0.01626,0.048780000000000004,0.0813,0.0,0.1626
t_US_event_annual,0.016124382857142853,0.01923799932872708,0.015754723399999997,0.016508891038095237,0.0,0.0,0.01248,0.037439999999999994,0.0624,0.0,0.1248
t_chd_event_annual,0.05638142857142858,0.12208065010038263,0.054009128968253974,0.05883737202380953,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,1.0
t_Cost_annual,877.7523987960939,754.5260562746952,862.9639598391394,892.5408377530483,130.97606961403136,207.89223804556903,713.919181928378,1677.1342277665892,2557.531773010284,115.05360430990724,9397.288674642612
t_QALY_annual,0.759627164181869,0.07788493782214516,0.7581006474511736,0.7611536809125645,0.5820970799221418,0.6267957320099917,0.7712923933070935,0.8546177773588463,0.8799999999999999,0.5472090116850165,0.8799999999999999
t_stroke_deathage,65.69124423963133,11.398373808095508,64.61887062010922,66.76361785915344,41.0,49.0,67.0,80.0,84.0,36.0,89.0
t_chd_deathage,66.78233438485805,12.44602642167202,65.81353427207706,67.75113449763903,40.0,48.0,69.0,81.70000000000005,86.0,36.0,92.0
t_noncvd_deathage,76.91530343007915,8.880037014387673,76.6325920685999,77.19801479155839,56.0,65.0,78.0,87.0,90.0,37.0,98.0
t_deathage,74.5901605599012,10.608431173218799,74.29184871441782,74.88847240538456,48.0,60.0,77.0,86.0,90.0,36.0,98.0
t_timeperiod,7.6269,3.1380059111020135,7.565396214309662,7.688403785690338,1.0,2.0,10.0,10.0,10.0,1.0,10.0
