Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0632,0.24333450468052145,0.05859666678182231,0.06813879419480078,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.04503632,0.17340016803535008,0.04114340401355823,0.0492786466101158,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.010276319999999999,0.039566190461048256,0.008479202367487318,0.012449543822916171,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.007887359999999998,0.03036814618412674,0.006332611865116288,0.009820049038782424,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.0909,0.28748122468339465,0.08542173884148005,0.09669244862540752,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_noncvd_death,0.5776,0.4939662339310495,0.5678909386048104,0.5872494648480605,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.3972,1.4019374817980867,1.3692,1.4244025,0.0,0.0,1.0,3.0,5.0,0.0,8.0
t_IS_event,0.99564472,0.9990206495292543,0.9766165185,1.0147423999999998,0.0,0.0,0.7126,2.1378,3.563,0.0,5.7008
t_HS_event,0.22718472,0.22795503454035282,0.22272948,0.2316891465,0.0,0.0,0.1626,0.4878,0.813,0.0,1.3008
t_US_event,0.17437056000000004,0.17496179772839698,0.17091360000000003,0.17776543200000003,0.0,0.0,0.1248,0.37439999999999996,0.624,0.0,0.9984
t_chd_event,0.5393,0.6796335043021504,0.5258,0.5527,0.0,0.0,0.0,1.0,2.0,0.0,4.0
Cost,9734.14758247534,7505.972618071745,9587.033222471695,9881.261942478985,253.84944000000002,823.8001612103297,8159.731482909561,20820.070762164538,26509.74682912626,130.94944,48137.13441844779
QALY,7.814149628844194,3.943108454881076,7.736866123257172,7.8914331344312165,0.8799999999999999,1.7343689320388347,8.33348457931788,13.07699573375642,13.452363769195175,0.74,13.484943213516864
t_stroke_death_annual,0.016920507546718845,0.09473489141530292,0.014571858910894481,0.01964015965856188,0.0,0.0,0.0,0.0,0.2,0.0,1.0
t_IS_death_annual,0.01205755367779185,0.0675080836225431,0.010097980608255905,0.014391864956071155,0.0,0.0,0.0,0.0,0.14252,0.0,0.7126
t_HS_death_annual,0.0027512745270964842,0.015403893344127133,0.0018981686795693095,0.003986265775428877,0.0,0.0,0.0,0.0,0.03252,0.0,0.1626
t_US_death_annual,0.0021116793418305122,0.011822914448629497,0.0013832361583247157,0.0032224991331595964,0.0,0.0,0.0,0.0,0.02496,0.0,0.1248
t_chd_death_annual,0.025185743054245376,0.11570690700336743,0.022292205340651204,0.028443936569921918,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.11871592649137928,0.20463051333084623,0.11252228461892969,0.12520239328981336,0.0,0.0,0.058823529411764705,0.3333333333333333,1.0,0.0,1.0
t_stroke_event_annual,0.12347842341653872,0.14373980342005824,0.12071906153068208,0.12631134429332705,0.0,0.0,0.1,0.2857142857142857,0.5,0.0,1.0
t_IS_event_annual,0.08799072452662551,0.1024289839171337,0.08601163677148341,0.08994657608916994,0.0,0.0,0.07126,0.2036,0.3563,0.0,0.7126
t_HS_event_annual,0.0200775916475292,0.023372092036102195,0.01962738184724883,0.0205414379300522,0.0,0.0,0.01626,0.04645714285714286,0.0813,0.0,0.1626
t_US_event_annual,0.015410107242384036,0.017938727466823637,0.015063780059221583,0.01576011914096337,0.0,0.0,0.01248,0.03565714285714285,0.0624,0.0,0.1248
t_chd_event_annual,0.05589696643913362,0.11843133281908097,0.053617465544431496,0.05828386026969676,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,1.0
t_Cost_annual,860.515200450005,704.0736196825047,846.7156110795803,874.3147898204296,140.52274912621363,215.16944,749.0957649462869,1523.535237024165,2479.6884794816488,100.33214558192243,9397.288674642612
t_QALY_annual,0.7074314785021498,0.10937414229362662,0.7052877847047951,0.7095751722995045,0.5090827861924808,0.5469391802985732,0.7060905975006362,0.8546177773588463,0.8799999999999999,0.48264583107520165,0.8799999999999999
t_stroke_deathage,68.17879746835443,11.619072514413853,67.27293761217535,69.08465732453351,42.0,53.0,69.0,82.89999999999998,88.0,36.0,96.0
t_chd_deathage,69.54785478547855,12.19884664137436,68.75483336009317,70.34087621086393,42.0,52.80000000000001,71.0,84.0,89.0,36.0,98.0
t_noncvd_deathage,79.41135734072022,9.293507624976085,79.1716870744702,79.65102760697023,58.0,67.0,81.0,90.0,95.0,38.0,99.0
t_deathage,77.21579882465491,10.791491783942186,76.96853359636815,77.46306405294168,52.0,62.0,79.0,89.0,94.0,36.0,99.0
t_timeperiod,11.9358,6.829476007297744,11.80194472992416,12.06965527007584,1.0,2.0,12.0,20.0,20.0,1.0,20.0
