Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0716,0.2578373285790983,0.06670953165616857,0.07681947814782712,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.05102216,0.183734880345453,0.04687918699717064,0.05550994652088913,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.011642159999999999,0.04192434962695818,0.00971931178694428,0.013940065442789999,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.008935679999999998,0.03217809860666845,0.00727055333530683,0.010977942462247987,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.1067,0.30874689061472194,0.10079927838511042,0.11290277473326378,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_noncvd_death,0.6815,0.4659178660942382,0.6723004258828449,0.6905601827085994,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.6591,1.6270070390721667,1.6275,1.6905,0.0,0.0,1.0,4.0,6.0,0.0,11.0
t_IS_event,1.1822746599999998,1.1594052160428758,1.1595427200000001,1.2048640799999997,0.0,0.0,0.7126,2.8504,4.2756,0.0,7.8386000000000005
t_HS_event,0.2697696599999999,0.2645513445531423,0.2645502,0.2749566,0.0,0.0,0.1626,0.6504,0.9756,0.0,1.7886
t_US_event,0.20705568,0.2030504784762144,0.20306208,0.21099935999999997,0.0,0.0,0.1248,0.4992,0.7487999999999999,0.0,1.3728
t_chd_event,0.6435,0.7587261143071625,0.6285975,0.6583,0.0,0.0,1.0,2.0,2.0,0.0,5.0
Cost,11699.045383804609,9056.920424739064,11521.533005371271,11876.557762237946,253.84944000000002,1047.161887060571,9659.068464557919,25178.67808309483,31582.81456813374,130.94944,53570.32124826375
QALY,9.001046131910178,4.835019573513868,8.906281489623844,9.095810774196512,0.8799999999999999,2.450741822980488,9.002309219769637,15.336347781791758,17.63213421878506,0.74,17.765840039159393
t_stroke_death_annual,0.017568568192890103,0.09574979466815262,0.015172717178504522,0.020334924974829898,0.0,0.0,0.0,0.0,0.2,0.0,1.0
t_IS_death_annual,0.01251936169425349,0.06823130368052455,0.01051971339533404,0.014893393534864525,0.0,0.0,0.0,0.0,0.14252,0.0,0.7126
t_HS_death_annual,0.0028566491881639312,0.015568916613041587,0.0019844151681242183,0.004110687681612541,0.0,0.0,0.0,0.0,0.03252,0.0,0.1626
t_US_death_annual,0.002192557310472685,0.01194957437458645,0.0014474274595209996,0.0033200016552312923,0.0,0.0,0.0,0.0,0.02496,0.0,0.1248
t_chd_death_annual,0.026236282372791284,0.11602117715507022,0.023280777378796583,0.029555636358095053,0.0,0.0,0.0,0.043478260869565216,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.10760587071670116,0.1849331223922633,0.1016822711137379,0.11383082773228012,0.0,0.0,0.05263157894736842,0.25,1.0,0.0,1.0
t_stroke_event_annual,0.12251277910937543,0.1400647154986083,0.11980210428475935,0.12530201582401806,0.0,0.0,0.1,0.2727272727272727,0.5,0.0,1.0
t_IS_event_annual,0.08730260639334095,0.09981011626430829,0.08532749124148839,0.08925487550903027,0.0,0.0,0.07126,0.19434545454545454,0.3563,0.0,0.7126
t_HS_event_annual,0.019920577883184448,0.022774522740073393,0.019476863612254886,0.020360683415274666,0.0,0.0,0.01626,0.04434545454545455,0.0813,0.0,0.1626
t_US_event_annual,0.015289594832850053,0.01748007649422652,0.014946987074795415,0.015629104605150577,0.0,0.0,0.012479999999999998,0.034036363636363635,0.0624,0.0,0.1248
t_chd_event_annual,0.0561236257486784,0.11833901966973726,0.05388130232789526,0.05844335224468581,0.0,0.0,0.03333333333333333,0.125,0.3333333333333333,0.0,1.0
t_Cost_annual,854.4141743919928,691.3568488599727,840.8638291496864,867.9645196342992,142.59944000000002,223.03488295980142,751.5409905386521,1478.7701632281678,2451.2242376735207,95.96207729976169,9397.288674642612
t_QALY_annual,0.6777415163905759,0.12930324463436532,0.6752072193649006,0.6802758134162512,0.4517675537861202,0.4947967134390322,0.6849168327798307,0.8422944980768298,0.8799999999999999,0.4284055099280745,0.8799999999999999
t_stroke_deathage,69.93016759776536,12.082149369977387,69.0451828612372,70.81515233429353,43.875,54.0,71.0,85.0,90.125,36.0,96.0
t_chd_deathage,71.91190253045923,11.620876231517117,71.21462646646675,72.6091785944517,46.0,56.0,73.0,86.0,91.0,36.0,99.0
t_noncvd_deathage,82.6542920029347,8.819202106414963,82.44490753813794,82.86367646773145,62.0,71.0,84.0,93.0,97.0,38.0,100.0
t_deathage,80.26157245871133,10.611975275866218,80.03726402639545,80.48588089102721,55.0,66.0,82.0,92.0,97.0,36.0,100.0
t_timeperiod,14.9464,9.758035097543612,14.755146026489367,15.137653973510634,1.0,3.0,13.0,30.0,30.0,1.0,30.0
