Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0848,0.27859777757935644,0.07949801377512503,0.09042085847188483,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.06042847999999999,0.19852877630305005,0.055924939076748,0.06526961041820364,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.013788479999999999,0.045299998634408006,0.011682455535338726,0.01626791332762965,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.010583039999999998,0.03476900264190838,0.008756978865494806,0.012784971764948173,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.0881,0.28345444897276817,0.08270165668891996,0.09381468116884342,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_noncvd_death,0.7536,0.4309357383196266,0.7450579152909501,0.7619473207354427,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.5093,1.5701465046309713,1.4788,1.5401,0.0,0.0,1.0,4.0,5.0,0.0,10.0
t_IS_event,1.0755271800000001,1.1188863991999742,1.0538623585,1.0974039999999998,0.0,0.0,0.7126,2.8504,3.563,0.0,7.126
t_HS_event,0.24541217999999998,0.25530582165299287,0.24038784000000002,0.2505666,0.0,0.0,0.1626,0.6504,0.813,0.0,1.626
t_US_event,0.18836064,0.19595428377794033,0.18452928000000002,0.19217952,0.0,0.0,0.1248,0.4992,0.624,0.0,1.248
t_chd_event,0.5919,0.7453924811769268,0.5773,0.6065,0.0,0.0,0.0,2.0,2.0,0.0,6.0
Cost,10740.108691672183,9179.985752859831,10560.184277130222,10920.033106214145,215.80508,628.7415607239136,8310.290979933872,24395.95255442003,32163.274734918417,129.26508,59236.69300871031
QALY,7.488916645425086,4.549955809856558,7.3997391502394105,7.578094140610762,0.8799999999999999,1.7343689320388347,6.983785123850189,13.979318208350822,16.433242067420288,0.74,17.757353111913368
t_stroke_death_annual,0.023912762679823084,0.11372443429186077,0.021096195161549446,0.02709496364495846,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_IS_death_annual,0.01704023468564193,0.0810400318763783,0.014682795495490574,0.019768585401759412,0.0,0.0,0.0,0.0,0.23753333333333335,0.0,0.7126
t_HS_death_annual,0.003888215211739233,0.018491593015858523,0.0028443974183352443,0.00531304523920752,0.0,0.0,0.0,0.0,0.0542,0.0,0.1626
t_US_death_annual,0.0029843127824419205,0.014192809399625635,0.002089359264772718,0.004260972728295625,0.0,0.0,0.0,0.0,0.0416,0.0,0.1248
t_chd_death_annual,0.025731483575350468,0.11874486036165445,0.022805585506134565,0.02902161831970691,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.14852863555367565,0.2246708138348159,0.14169354437178813,0.15563365559813688,0.0,0.0,0.07142857142857142,0.3333333333333333,1.0,0.0,1.0
t_stroke_event_annual,0.13861474014608177,0.16301515432720834,0.13548613672642418,0.14185913689741725,0.0,0.0,0.1,0.3333333333333333,0.5,0.0,1.0
t_IS_event_annual,0.09877686382809789,0.11616459897356186,0.09649513483713691,0.10103782349428733,0.0,0.0,0.07126,0.23753333333333335,0.3563,0.0,0.7126
t_HS_event_annual,0.022538756747752894,0.026506264093604764,0.022031930505151093,0.023059073759362534,0.0,0.0,0.01626,0.0542,0.0813,0.0,0.1626
t_US_event_annual,0.017299119570231006,0.02034429126003507,0.016904811253984103,0.0176938789576132,0.0,0.0,0.01248,0.0416,0.0624,0.0,0.1248
t_chd_event_annual,0.06002474644256582,0.12460528122210056,0.05760110064700882,0.06252887990057031,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,1.0
t_Cost_annual,953.7010906701915,792.3686911210244,938.1709496994481,969.231231640935,138.8629186407767,213.48508,834.4760511498187,1699.9164617091858,2952.689669166161,101.09553411869216,9395.604314642613
t_QALY_annual,0.7044430171611504,0.12835072994349433,0.7019273890803637,0.7069586452419372,0.4585165767468791,0.5150176845810649,0.7301673510393702,0.8571844660194173,0.8799999999999999,0.42683680037240984,0.8799999999999999
t_stroke_deathage,67.14504716981132,10.979811848962733,66.40604610704303,67.88404823257962,43.0,52.0,68.0,81.0,85.0,36.0,90.0
t_chd_deathage,67.51645856980704,11.817072171936141,66.73614344523402,68.29677369438006,41.0,51.0,69.0,82.0,86.0,36.0,92.0
t_noncvd_deathage,77.49004777070064,8.529127684320803,77.29748059442345,77.68261494697784,57.0,66.0,79.0,87.0,90.0,37.0,98.0
t_deathage,75.59481921208851,9.955898821455905,75.39209489151723,75.79754353265979,51.0,62.0,77.0,86.0,90.0,36.0,98.0
t_timeperiod,12.0876,9.03028686410815,11.91060962976283,12.26459037023717,1.0,2.0,10.0,28.0,30.0,1.0,30.0
