Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0665,0.24916652743865023,0.061781234037715294,0.07155169254966132,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.0473879,0.17755606745278055,0.0433945963739248,0.051728808243972205,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.0108129,0.04051447736152909,0.008965427451583258,0.01303606664712876,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.0082992,0.031095982624342502,0.00670025370481251,0.010275770907308246,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.0905,0.28691110434796696,0.08503305524730385,0.09628143941828025,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_noncvd_death,0.8199,0.3842899398576587,0.8122460353995777,0.8273082824428633,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.473,1.57210627879143,1.4418,1.5041,0.0,0.0,1.0,4.0,5.0,0.0,11.0
t_IS_event,1.0496598,1.1202829342667526,1.0274961585,1.07146536,0.0,0.0,0.7126,2.8504,3.563,0.0,7.8386000000000005
t_HS_event,0.2395098,0.25562448093147344,0.23456675999999999,0.2445508065,0.0,0.0,0.1626,0.6504,0.813,0.0,1.7886
t_US_event,0.1838304,0.19619886359315092,0.1800864,0.18766176,0.0,0.0,0.1248,0.4992,0.624,0.0,1.3728
t_chd_event,0.5801,0.7431279929604546,0.5653,0.5948,0.0,0.0,0.0,2.0,2.0,0.0,5.0
Cost,10475.953091312344,9029.227657842031,10298.98348113651,10652.922701488176,233.30944,739.5826506701857,7986.269816867094,23948.84665213082,31730.12743645512,130.94944,54030.45682073494
QALY,8.170312414695527,4.9039931002253265,8.074195916126781,8.266428913264273,0.8799999999999999,1.7343689320388347,7.696220842378865,15.19738816423935,18.01624025356409,0.74,20.941677206035475
t_stroke_death_annual,0.01688445424555478,0.09473454471693445,0.014538459042981872,0.01960148061296417,0.0,0.0,0.0,0.0,0.2,0.0,1.0
t_IS_death_annual,0.012031862095382337,0.06750783656529544,0.010074541430329233,0.014363940700230369,0.0,0.0,0.0,0.0,0.14252,0.0,0.7126
t_HS_death_annual,0.0027454122603272077,0.015403836970973276,0.0018933809403793567,0.003979333483282052,0.0,0.0,0.0,0.0,0.03252,0.0,0.1626
t_US_death_annual,0.002107179889845237,0.011822871180674,0.0013796739759973666,0.0032170658670808566,0.0,0.0,0.0,0.0,0.02496,0.0,0.1248
t_chd_death_annual,0.02444481010295836,0.11451361441451331,0.021595812915020753,0.027659032127070493,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.14095016932044824,0.21286414327161107,0.13426787024814574,0.14790821749269606,0.0,0.0,0.06666666666666667,0.3333333333333333,1.0,0.0,1.0
t_stroke_event_annual,0.12042127970820671,0.14513614101490843,0.11760666968688985,0.12325836930080543,0.0,0.0,0.09090909090909091,0.2857142857142857,0.5,0.0,1.0
t_IS_event_annual,0.0858122039200681,0.10342401408722811,0.08377387906437216,0.08784694104052237,0.0,0.0,0.06478181818181818,0.2036,0.3563,0.0,0.7126
t_HS_event_annual,0.01958050008055441,0.023599136529024525,0.019126690099693595,0.020038305057689044,0.0,0.0,0.01478181818181818,0.04645714285714286,0.0813,0.0,0.1626
t_US_event_annual,0.015028575707584195,0.018112990398660295,0.014685655485577398,0.015374976672840192,0.0,0.0,0.011345454545454546,0.03565714285714285,0.0624,0.0,0.1248
t_chd_event_annual,0.054229475932875616,0.11797622847203433,0.05196579650494242,0.056619940653040525,0.0,0.0,0.0,0.13333333333333333,0.3333333333333333,0.0,1.0
t_Cost_annual,842.6215106318693,712.2953387094828,828.6607785296059,856.5822427341328,138.48638234706382,213.88447744914447,721.5169314651541,1518.6247591210736,2519.7506175224316,95.96207729976169,9397.288674642612
t_QALY_annual,0.6970684616035537,0.13193421517249818,0.6944825985028872,0.6996543247042203,0.43441943352329504,0.5030075245056196,0.7244278868060327,0.8546177773588463,0.8799999999999999,0.38448834984743696,0.8799999999999999
t_stroke_deathage,67.49924812030075,11.185474230946726,66.64910573347392,68.34939050712758,43.0,52.0,69.0,81.0,85.0,36.0,97.0
t_chd_deathage,68.50386740331491,11.830113651565116,67.73311884984727,69.27461595678255,41.0,52.0,71.0,82.0,86.0,36.0,94.0
t_noncvd_deathage,78.52616172703988,8.497291865917761,78.3422335851278,78.71008986895195,58.0,67.0,80.0,88.0,92.0,37.0,99.0
t_deathage,76.84706725355717,9.839734995133158,76.65194516392795,77.0421893431864,53.0,63.0,79.0,87.0,91.0,36.0,99.0
t_timeperiod,13.4649,10.30696809683314,13.262887137404038,13.666912862595963,1.0,2.0,11.0,29.0,40.0,1.0,40.0
