Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0946,0.29267628182106903,0.08901859902752329,0.10049274685142129,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.06741195999999999,0.20856111842569203,0.0626619115115771,0.07249423469349126,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.01538196,0.04758916342410007,0.013149287937050714,0.017986817138470255,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.01180608,0.03652599997127092,0.00986866077533283,0.01411843056437561,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.1005,0.30068054622656604,0.09475960632391275,0.10654720837425785,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_noncvd_death,0.8049,0.39629748317331154,0.7970166281294763,0.8125492096640851,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.6695,1.7059193316439933,1.6357975,1.7028025,0.0,0.0,1.0,4.0,6.0,0.0,16.0
t_IS_event,1.1896857,1.215638115729524,1.16574234,1.2138446215,0.0,0.0,0.7126,2.8504,4.2756,0.0,11.4016
t_HS_event,0.27146070000000005,0.2773824833252982,0.26598108,0.27697284,0.0,0.0,0.1626,0.6504,0.9756,0.0,2.6016
t_US_event,0.2083536,0.21289873258917974,0.20417280000000002,0.21254688000000002,0.0,0.0,0.1248,0.4992,0.7487999999999999,0.0,1.9968
t_chd_event,0.6528,0.7966904239183499,0.6370975,0.6684025,0.0,0.0,0.0,2.0,3.0,0.0,6.0
Cost,11839.89669959663,10086.608512088404,11642.202805498146,12037.590593695113,232.15508000000003,734.6753188538034,9267.217737374256,26764.14528896256,35051.89325829343,129.26508,67541.84252945847
QALY,8.091375248699514,4.962359810018534,7.99411478363986,8.188635713759167,0.8799999999999999,1.7343689320388347,7.60947536692888,15.216886842682092,18.055144894863442,0.74,23.438750458753457
t_stroke_death_annual,0.024558595981378547,0.1137942887590765,0.021702712253661136,0.027779617158086644,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_IS_death_annual,0.017500455496330353,0.0810898101697043,0.01510952237475098,0.02026194669579294,0.0,0.0,0.0,0.0,0.23753333333333335,0.0,0.7126
t_HS_death_annual,0.003993227706572153,0.018502951352225325,0.0029332747835082336,0.005434112214446538,0.0,0.0,0.0,0.0,0.0542,0.0,0.1626
t_US_death_annual,0.0030649127784760427,0.014201527237130187,0.0021558589184640323,0.004355611166138248,0.0,0.0,0.0,0.0,0.0416,0.0,0.1248
t_chd_death_annual,0.027102786121411294,0.12002990023719734,0.024097164200493435,0.030471591561582908,0.0,0.0,0.0,0.025,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.13494914296446003,0.21110026019463235,0.1283925463543451,0.14178609744320642,0.0,0.0,0.0625,0.3333333333333333,1.0,0.0,1.0
t_stroke_event_annual,0.13804612911518366,0.15966848879968898,0.13492450820553026,0.141161946206396,0.0,0.0,0.10526315789473684,0.3333333333333333,0.5,0.0,1.0
t_IS_event_annual,0.09837167160747991,0.1137797651186612,0.09611065630025811,0.10058143267891764,0.0,0.0,0.07501052631578947,0.23753333333333335,0.3563,0.0,0.7126
t_HS_event_annual,0.022446300594128867,0.025962096278830876,0.021937718681608518,0.022958017750318978,0.0,0.0,0.01711578947368421,0.0542,0.0813,0.0,0.1626
t_US_event_annual,0.017228156913574922,0.019926627402201292,0.0168391812925828,0.017618049621747317,0.0,0.0,0.013136842105263157,0.0416,0.0624,0.0,0.1248
t_chd_event_annual,0.061195500716844015,0.12546060315260316,0.05879909875020091,0.0637477870364858,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,1.0
t_Cost_annual,949.4917236612175,772.8820241412017,934.3435143450658,964.6399329773692,140.91508000000002,216.33508,823.7086721455794,1691.5947968412418,2907.950092758233,101.09553411869216,9395.604314642613
t_QALY_annual,0.6892788330570564,0.13855615075323205,0.686563182403928,0.6919944837101848,0.4116073146388583,0.4873931996683759,0.7137546547232991,0.8546177773588463,0.8799999999999999,0.3123949278237301,0.8799999999999999
t_stroke_deathage,68.91649048625793,11.553620232399542,68.1802484485969,69.65273252391896,43.0,53.0,71.0,83.0,89.0,36.0,96.0
t_chd_deathage,69.44676616915423,12.064418808434512,68.70088187031104,70.19265046799742,42.0,53.0,71.0,84.0,89.0,36.0,99.0
t_noncvd_deathage,80.06771027456827,8.96286863412789,79.87190510283784,80.2635154462987,59.0,68.0,81.0,91.0,95.0,38.0,99.0
t_deathage,77.9454,10.511273354201796,77.7393828279411,78.15141717205891,53.0,64.0,80.0,90.0,95.0,36.0,99.0
t_timeperiod,13.7364,11.094540275396481,13.518951006351937,13.953848993648062,1.0,2.0,11.0,30.0,41.0,1.0,63.0
