Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0726,0.25949176017237324,0.0676767587059946,0.07785148310125975,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.05173476,0.18491382829885844,0.04756317037175318,0.0562506158718287,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.011804760000000001,0.04219336020402654,0.009867457696409489,0.014116994657054651,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.009060479999999997,0.03238457166951453,0.007382659698606114,0.01111534025295538,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.1017,0.30226850088065976,0.09592805211846216,0.10777784098361883,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_noncvd_death,0.8257,0.3793862192941736,0.8181398460270243,0.833010017434317,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.5953,1.6576467323494808,1.5626975,1.6283,0.0,0.0,1.0,4.0,6.0,0.0,13.0
t_IS_event,1.1368107799999998,1.1812390614722588,1.1139363199999999,1.1601840600000002,0.0,0.0,0.7126,2.8504,4.2756,0.0,9.2638
t_HS_event,0.25939578,0.26953335868000416,0.2542246935,0.26464775999999995,0.0,0.0,0.1626,0.6504,0.9756,0.0,2.1138
t_US_event,0.19909343999999998,0.20687431219722258,0.19508704799999999,0.20303743200000002,0.0,0.0,0.1248,0.4992,0.7487999999999999,0.0,1.6223999999999998
t_chd_event,0.6237,0.7701672712876328,0.6088975,0.6392,0.0,0.0,0.0,2.0,3.0,0.0,5.0
Cost,11284.717761211628,9538.415843085008,11097.7682459915,11471.667276431757,253.84944000000002,823.8001612103297,8811.78951733791,25440.26714735718,33773.66001661268,130.94944,62479.88824961787
QALY,8.683963557609763,5.117196681048041,8.583668345643142,8.784258769576384,0.8799999999999999,1.7343689320388347,8.33348457931788,15.83785040700428,18.781245266129933,0.74,24.48935733777452
t_stroke_death_annual,0.017265210956678972,0.09474182043881374,0.014891340292903434,0.0200098203653776,0.0,0.0,0.0,0.0,0.2,0.0,1.0
t_IS_death_annual,0.012303189327729433,0.06751302124469953,0.010322204148326217,0.014658724068497296,0.0,0.0,0.0,0.0,0.14252,0.0,0.7126
t_HS_death_annual,0.0028073233015560007,0.015405020003352227,0.00194399965286993,0.004052489305771147,0.0,0.0,0.0,0.0,0.03252,0.0,0.1626
t_US_death_annual,0.0021546983273935355,0.011823779190764957,0.0014173419760057098,0.00327439824816392,0.0,0.0,0.0,0.0,0.02496,0.0,0.1248
t_chd_death_annual,0.025601814894731883,0.11568701132846333,0.022683572152419368,0.02888439389730911,0.0,0.0,0.0,0.030397727272727618,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.1273094350635617,0.2001828259093748,0.12091929657234764,0.13398579869418004,0.0,0.0,0.058823529411764705,0.3333333333333333,1.0,0.0,1.0
t_stroke_event_annual,0.1203264610077297,0.14239521581516987,0.11756102441894205,0.12317953487157834,0.0,0.0,0.09090909090909091,0.2727272727272727,0.5,0.0,1.0
t_IS_event_annual,0.0857446361141082,0.10147083078988886,0.08381588072423558,0.08776263183366154,0.0,0.0,0.06478181818181818,0.19434545454545454,0.3563,0.0,0.7126
t_HS_event_annual,0.01956508255985685,0.023153462091547037,0.01912564506211638,0.02001885320364485,0.0,0.0,0.01478181818181818,0.04434545454545455,0.0813,0.0,0.1626
t_US_event_annual,0.015016742333764668,0.017770922933732863,0.0146709377932609,0.015361242892162643,0.0,0.0,0.011345454545454546,0.034036363636363635,0.0624,0.0,0.1248
t_chd_event_annual,0.05490541354096019,0.1178796980613926,0.05265344316923114,0.05719558058189281,0.0,0.0,0.0,0.13043478260869565,0.3333333333333333,0.0,1.0
t_Cost_annual,840.0230777351679,698.0230495282374,826.3420773606263,853.7040781097096,140.65063279163437,215.16944,722.6951097856571,1496.063061634164,2479.6884794816488,99.00697340908222,9397.288674642612
t_QALY_annual,0.6847158760668219,0.1373066461256357,0.6820247152543796,0.6874070368792643,0.4101770975800103,0.4859548342274266,0.7060905975006362,0.8546177773588463,0.8799999999999999,0.30687280140239676,0.8799999999999999
t_stroke_deathage,69.3870523415978,11.591211789437784,68.54389500791568,70.23020967527991,44.0,54.0,71.0,83.0,89.875,36.0,96.0
t_chd_deathage,70.29596853490659,12.10038041436043,69.55228761621939,71.0396494535938,42.0,53.0,72.0,85.0,90.60000000000002,36.0,99.0
t_noncvd_deathage,80.86399418675063,9.058342507142832,80.66861167581345,81.05937669768781,60.0,69.0,82.0,91.0,96.0,38.0,100.0
t_deathage,78.956,10.471486484875049,78.75076263625047,79.16123736374954,54.0,65.0,81.0,91.0,96.0,36.0,100.0
t_timeperiod,14.747,11.443604616057947,14.522709470992101,14.971290529007899,1.0,2.0,12.0,31.0,43.0,1.0,63.0
