Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.1016,0.30213667214831175,0.09583067183565595,0.10767529806609914,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_IS_death,0.07240016,0.21530259257287923,0.06748344550462126,0.07764526977910188,0.0,0.0,0.0,0.7126,0.7126,0.0,0.7126
t_HS_death,0.01652016,0.04912742289132055,0.014201143177232306,0.019210487764397655,0.0,0.0,0.0,0.1626,0.1626,0.0,0.1626
t_US_death,0.012679679999999999,0.037706656684109045,0.010666297288596058,0.015067323129159132,0.0,0.0,0.0,0.1248,0.1248,0.0,0.1248
t_chd_death,0.1059,0.30772497374430413,0.10001959598229367,0.11208307153347362,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_noncvd_death,0.7925,0.4055369231273729,0.7844404326672224,0.8003349282859317,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.8202,1.7808955946130598,1.7853,1.8544,0.0,0.0,1.0,4.0,6.0,0.0,16.0
t_IS_event,1.2970745199999998,1.2690662007212143,1.2721317384999997,1.3219460414999997,0.0,0.0,0.7126,2.8504,4.2756,0.0,11.4016
t_HS_event,0.29596452,0.2895736236840795,0.29033856,0.30168804,0.0,0.0,0.1626,0.6504,0.9756,0.0,2.6016
t_US_event,0.22716095999999997,0.22225577020769702,0.22271808,0.23151648,0.0,0.0,0.1248,0.4992,0.7487999999999999,0.0,1.9968
t_chd_event,0.71,0.8365225502027714,0.6937,0.7265025,0.0,0.0,1.0,2.0,3.0,0.0,6.0
Cost,12884.179268116086,10438.145185513402,12679.595381826022,13088.76315440615,252.16508000000002,1007.0301298918441,10289.014594383709,28246.550079181576,36461.24528442776,129.26508,67541.84252945847
QALY,8.669796483054157,5.0957434847111545,8.569921746009271,8.769671220099042,0.8799999999999999,1.7343689320388347,8.349326320675045,15.756613097334991,18.513638039910735,0.74,24.337502834550236
t_stroke_death_annual,0.025351344210465216,0.11519763616707994,0.022447947653882423,0.028619269387982038,0.0,0.0,0.0,0.027102102102102378,0.3333333333333333,0.0,1.0
t_IS_death_annual,0.018065367884377515,0.08208983553265645,0.01563394398331629,0.02086691601244878,0.0,0.0,0.0,0.019312957957958152,0.23753333333333335,0.0,0.7126
t_HS_death_annual,0.004122128568621644,0.01873113564076779,0.00304265347402674,0.005582436252585004,0.0,0.0,0.0,0.004406801801801846,0.0542,0.0,0.1626
t_US_death_annual,0.0031638477574660586,0.014376664993649991,0.0022377313074727363,0.004471532753368105,0.0,0.0,0.0,0.0033823423423423762,0.0416,0.0,0.1248
t_chd_death_annual,0.027883623328832277,0.12166522376064103,0.024833572598989412,0.03129625789749807,0.0,0.0,0.0,0.041666666666666664,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.11622411198568983,0.190877098755848,0.11008940199716608,0.1226535606056185,0.0,0.0,0.05263157894736842,0.25,1.0,0.0,1.0
t_stroke_event_annual,0.140325240180403,0.15782098777969128,0.13718167503565712,0.1434356403626245,0.0,0.0,0.1111111111111111,0.3333333333333333,0.5,0.0,1.0
t_IS_event_annual,0.0999957661525552,0.11246323589180778,0.09779082521128818,0.10224251094703017,0.0,0.0,0.07917777777777778,0.23753333333333332,0.3563,0.0,0.7126
t_HS_event_annual,0.02281688405333353,0.02566169261297902,0.02231774358730691,0.023327252747096117,0.0,0.0,0.018066666666666665,0.0542,0.0813,0.0,0.1626
t_US_event_annual,0.017512589974514298,0.019696059274905687,0.0171303351064002,0.017900010173250474,0.0,0.0,0.013866666666666666,0.0416,0.0624,0.0,0.1248
t_chd_event_annual,0.06190813559960679,0.12609359332907472,0.059471522732521605,0.06437934565329566,0.0,0.0,0.027777777777777776,0.14285714285714285,0.3333333333333333,0.0,1.0
t_Cost_annual,960.7474459027391,774.2546552080674,945.5723335120362,975.922558293442,141.0891907642897,232.15508000000003,829.8801771551696,1682.556144273729,2918.906275790626,108.92078481144853,9395.604314642613
t_QALY_annual,0.674295505524067,0.14205674915794092,0.671511244402963,0.6770797666451711,0.40072376887398015,0.47177781781232275,0.6934420417996963,0.8483338046312877,0.8799999999999999,0.3123949278237301,0.8799999999999999
t_stroke_deathage,69.93011811023622,12.15272429413617,69.18285269581916,70.67738352465328,43.0,52.5,72.0,85.0,90.0,36.0,98.0
t_chd_deathage,71.42209631728045,11.52331092421448,70.72806767940158,72.11612495515932,47.0,56.0,72.0,86.0,91.0,36.0,99.0
t_noncvd_deathage,82.65413249211356,8.681801197296993,82.46298953860226,82.84527544562486,63.0,71.0,84.0,93.0,97.0,38.0,101.0
t_deathage,80.1719,10.603036962553798,79.96408429426647,80.37971570573352,54.0,66.0,82.0,92.0,97.0,36.0,101.0
t_timeperiod,15.0889,11.76879973721725,14.858235763737898,15.319564236262103,1.0,2.0,12.0,32.0,44.0,1.0,63.0
