Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0756,0.26437025014723636,0.07058009839494228,0.08094583942208802,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.05387256,0.1883902402549335,0.049616473106609445,0.05847127131353878,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.01229256,0.04298660267393994,0.010312496819666955,0.01464718090498675,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.009434879999999998,0.03299340721837727,0.0077195015548002415,0.011527010858781293,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.1093,0.3120308419445762,0.10333397570538573,0.11556608062146094,0.0,0.0,0.0,1.0,1.0,0.0,1.0
t_noncvd_death,0.8151,0.38823583387711896,0.807370598924163,0.8225874053026366,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.7382,1.7378040039877167,1.703895,1.772,0.0,0.0,1.0,4.0,6.0,0.0,14.0
t_IS_event,1.2386413200000002,1.2383591332415997,1.2146961785,1.2630852814999998,0.0,0.0,0.7126,2.8504,4.2756,0.0,9.9764
t_HS_event,0.28263131999999996,0.2825669310484044,0.27695658,0.28817598,0.0,0.0,0.1626,0.6504,0.9756,0.0,2.2763999999999998
t_US_event,0.21692735999999999,0.21687793969766767,0.21259679999999997,0.221208,0.0,0.0,0.1248,0.4992,0.7487999999999999,0.0,1.7471999999999999
t_chd_event,0.6744,0.8004053378573214,0.6591,0.6899,0.0,0.0,1.0,2.0,3.0,0.0,5.0
Cost,12236.484014704762,9865.430260981106,12043.125134669615,12429.842894739908,253.84944000000002,1047.161887060571,9758.636509372318,26708.83411685055,34881.00385824216,130.94944,62479.88824961787
QALY,9.289240198323261,5.275943017060729,9.185833615344015,9.392646781302508,0.8799999999999999,2.450741822980488,9.002309219769637,16.557652402687495,19.368242573496925,0.74,24.51821399038748
t_stroke_death_annual,0.017682525292021186,0.09574604435732322,0.015278468517070232,0.020457000315845568,0.0,0.0,0.0,0.0,0.2,0.0,1.0
t_IS_death_annual,0.012600567523094295,0.06822863120902947,0.010593951137203341,0.014981505084864908,0.0,0.0,0.0,0.0,0.14252,0.0,0.7126
t_HS_death_annual,0.0028751786124826444,0.015568306812502444,0.001999616763822542,0.004132530704014148,0.0,0.0,0.0,0.0,0.03252,0.0,0.1626
t_US_death_annual,0.0022067791564442433,0.011949106335795975,0.0014587458795171605,0.003337116004846887,0.0,0.0,0.0,0.0,0.02496,0.0,0.1248
t_chd_death_annual,0.02630826649696987,0.11601356643167123,0.02334856453700905,0.029631762164666953,0.0,0.0,0.0,0.043478260869565216,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.11112450191685355,0.18309974997152473,0.10511330490057813,0.11743435404844893,0.0,0.0,0.05263157894736842,0.25,1.0,0.0,1.0
t_stroke_event_annual,0.12153054093000448,0.1398012740340098,0.11881184047526278,0.12427827291917458,0.0,0.0,0.09375,0.2727272727272727,0.5,0.0,1.0
t_IS_event_annual,0.0866026634667212,0.09962238787663458,0.08470132446373219,0.08856022974878056,0.0,0.0,0.06680625,0.19434545454545454,0.3563,0.0,0.7126
t_HS_event_annual,0.01976086595521873,0.02273168715792948,0.019314264121680982,0.020211704800957252,0.0,0.0,0.01524375,0.04434545454545455,0.0813,0.0,0.1626
t_US_event_annual,0.015167011508064559,0.017447198999444396,0.014832618811199022,0.015510495731397109,0.0,0.0,0.011699999999999999,0.034036363636363635,0.0624,0.0,0.1248
t_chd_event_annual,0.055702328394618146,0.11826869158712225,0.05344581353413662,0.05807103924960614,0.0,0.0,0.022727272727272728,0.125,0.3333333333333333,0.0,1.0
t_Cost_annual,845.3521729729213,691.3323094321204,831.8023086945627,858.9020372512798,142.59944000000002,223.31279279702983,734.5025230037218,1478.0340404862352,2451.2242376735207,99.00697340908222,9397.288674642612
t_QALY_annual,0.6697506121925852,0.1410749621946939,0.6669855937423658,0.6725156306428047,0.39795624646890193,0.4692787426291022,0.6849168327798307,0.8422944980768298,0.8799999999999999,0.30687280140239676,0.8799999999999999
t_stroke_deathage,70.46428571428571,12.100792799504404,69.60170246961553,71.32686895895588,44.0,54.5,72.0,86.0,91.0,36.0,96.0
t_chd_deathage,72.1875571820677,11.68020737409663,71.49510695264645,72.88000741148896,46.0,56.0,73.0,86.0,92.0,36.0,99.0
t_noncvd_deathage,83.49687154950313,8.711755475398206,83.30774681932003,83.68599627968622,63.75,72.0,84.0,94.0,97.0,38.0,104.0
t_deathage,81.2755,10.473966304462444,81.07021403267967,81.48078596732032,56.0,67.0,83.0,93.0,97.0,36.0,104.0
t_timeperiod,16.1925,12.195438352993463,15.953473800524542,16.431526199475456,1.0,3.0,13.0,34.0,45.0,1.0,63.0
