Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0868,0.28155583348378166,0.08143932955544067,0.09247800669808648,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.061853679999999994,0.2006366869405215,0.05729848712321372,0.06674536782278215,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.01411368,0.04578097852445777,0.011981218561746554,0.016619300548681538,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.01083264,0.035138168018777095,0.008983339545412713,0.013057619393043627,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.0888,0.28446907084114387,0.08338152212498394,0.0945342781350605,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_noncvd_death,0.8244,0.3804985123647785,0.8168185613879781,0.8317323004691268,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.5444,1.6266201859447988,1.5127,1.5765,0.0,0.0,1.0,4.0,6.0,0.0,13.0
t_IS_event,1.1005394400000001,1.1591295445042873,1.07823506,1.1236294615000002,0.0,0.0,0.7126,2.8504,4.2756,0.0,9.2638
t_HS_event,0.25111943999999997,0.26448844223462453,0.2458833135,0.25638767999999995,0.0,0.0,0.1626,0.6504,0.9756,0.0,2.1138
t_US_event,0.19274112,0.20300219920591103,0.18885952799999997,0.19672224,0.0,0.0,0.1248,0.4992,0.7487999999999999,0.0,1.6223999999999998
t_chd_event,0.6073,0.7695101848529797,0.5921,0.6221,0.0,0.0,0.0,2.0,2.0,0.0,6.0
Cost,10993.845209957946,9636.262976470372,10804.97792616356,11182.712493752333,215.80508,628.7415607239136,8322.121489412237,25105.70748617682,34220.31536273556,129.26508,66308.97384890221
QALY,7.615140387386669,4.788434692415256,7.5212887919921085,7.708991982781229,0.8799999999999999,1.7343689320388347,6.983785123850189,14.489047791280786,17.679664521768295,0.74,23.220169777962454
t_stroke_death_annual,0.023969490132892533,0.11371963181054556,0.021149446735156802,0.0271551234109909,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_IS_death_annual,0.017080658668699223,0.08103660962819456,0.014720258757023536,0.019811939060853778,0.0,0.0,0.0,0.0,0.23753333333333335,0.0,0.7126
t_HS_death_annual,0.0038974390956083267,0.018490812132395257,0.0028521955210694993,0.0053236878202987,0.0,0.0,0.0,0.0,0.0542,0.0,0.1626
t_US_death_annual,0.002991392368584988,0.014192210049954156,0.0020951929456089857,0.0042692927826464035,0.0,0.0,0.0,0.0,0.0416,0.0,0.1248
t_chd_death_annual,0.025751055346380038,0.1187429364367797,0.022824003603165725,0.029042328733678516,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.1504628046573373,0.22350040078150926,0.14358973539316572,0.15760431734851377,0.0,0.0,0.07142857142857142,0.3333333333333333,1.0,0.0,1.0
t_stroke_event_annual,0.13809438709392197,0.1629330334651135,0.13497497338798622,0.14129109899262246,0.0,0.0,0.10344827586206896,0.3333333333333333,0.5,0.0,1.0
t_IS_event_annual,0.0984060602431288,0.11610607964724606,0.09613681989020256,0.10069315950077455,0.0,0.0,0.07371724137931034,0.23753333333333335,0.3563,0.0,0.7126
t_HS_event_annual,0.022454147341471713,0.02649291124142743,0.021935498319458808,0.022962825862033884,0.0,0.0,0.016820689655172413,0.0542,0.0813,0.0,0.1626
t_US_event_annual,0.017234179509321462,0.020334042576445947,0.016836060844038627,0.017634097288652804,0.0,0.0,0.012910344827586205,0.0416,0.0624,0.0,0.1248
t_chd_event_annual,0.05981892373486481,0.12456642161528789,0.057373952706723956,0.062330662340968346,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,1.0
t_Cost_annual,949.2008534317102,792.5218424203683,933.6677107506578,964.7339961127627,138.8629186407767,213.48508,823.5655171575781,1699.9164617091858,2952.689669166161,101.09553411869216,9395.604314642613
t_QALY_annual,0.7009649954694476,0.13440860153483378,0.6983306352872409,0.7035993556516542,0.4293926122740413,0.5032097244155078,0.7301673510393702,0.8571844660194173,0.8799999999999999,0.32257598333112986,0.8799999999999999
t_stroke_deathage,67.39170506912443,11.00512726664848,66.65958333847165,68.1238267997772,43.0,52.0,69.0,81.0,85.0,36.0,90.0
t_chd_deathage,67.57770270270271,11.805289859788868,66.80124417682302,68.3541612285824,41.0,51.0,69.0,82.0,86.0,36.0,92.0
t_noncvd_deathage,77.92406598738476,8.449179165497569,77.74167909697773,78.1064528777918,58.0,67.0,79.0,87.0,91.0,37.0,98.0
t_deathage,76.0911,9.87382144992499,75.89757665568368,76.28462334431632,52.0,63.0,78.0,87.0,90.0,36.0,98.0
t_timeperiod,12.6236,10.32593751378305,12.421215343663741,12.825984656336258,1.0,2.0,10.0,28.0,38.0,1.0,56.0
