Variable,Mean,Standard Deviation,95% CI Lower,95% CI Upper,2.5%,10%,Median,90%,97.5%,Min,Max
t_stroke_death,0.0667,0.24951419946282913,0.06197435120405561,0.07175842178397272,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_IS_death,0.04753042,0.17780381853721358,0.04353112484704686,0.05187721031595457,0.0,0.0,0.0,0.0,0.7126,0.0,0.7126
t_HS_death,0.01084542,0.040571008832651106,0.008994937035017692,0.013071572088440297,0.0,0.0,0.0,0.0,0.1626,0.0,0.1626
t_US_death,0.008324159999999999,0.031139372092964107,0.006722571013444631,0.010303354429477458,0.0,0.0,0.0,0.0,0.1248,0.0,0.1248
t_chd_death,0.0907,0.28719637563140316,0.08522739291402315,0.0964869481522127,0.0,0.0,0.0,0.0,1.0,0.0,1.0
t_noncvd_death,0.8426,0.364195694442394,0.835330852681616,0.8496060316347963,0.0,0.0,1.0,1.0,1.0,0.0,1.0
t_stroke_event,1.4783,1.5820807210572458,1.4469,1.5094,0.0,0.0,1.0,4.0,6.0,0.0,11.0
t_IS_event,1.05343658,1.1273907218253698,1.03134598,1.0753151815000002,0.0,0.0,0.7126,2.8504,4.2756,0.0,7.8386000000000005
t_HS_event,0.24037158,0.25724632524390334,0.23531471999999998,0.24544469999999996,0.0,0.0,0.1626,0.6504,0.9756,0.0,1.7886
t_US_event,0.18449184,0.19744367398793014,0.1805856,0.18836064000000002,0.0,0.0,0.1248,0.4992,0.7487999999999999,0.0,1.3728
t_chd_event,0.5827,0.7470050278620881,0.5684,0.5976,0.0,0.0,0.0,2.0,2.0,0.0,5.0
Cost,10520.46773764765,9120.846516066942,10341.702430847561,10699.23304444774,233.30944,739.5826506701857,7986.269816867094,24040.290630272782,32149.696124734513,130.94944,55938.57721261913
QALY,8.19415371283534,4.953140738415175,8.09707393825882,8.291233487411859,0.8799999999999999,1.7343689320388347,7.696220842378865,15.19738816423935,18.310345065577124,0.74,23.907973987757433
t_stroke_death_annual,0.016889160779331083,0.09473429038040403,0.014542819020226546,0.019606530088669492,0.0,0.0,0.0,0.0,0.2,0.0,1.0
t_IS_death_annual,0.012035215971351331,0.06750765532506481,0.010077601129172976,0.0143675861775588,0.0,0.0,0.0,0.0,0.14252,0.0,0.7126
t_HS_death_annual,0.002746177542719234,0.015403795615851064,0.0018940058866209193,0.003980238514090158,0.0,0.0,0.0,0.0,0.03252,0.0,0.1626
t_US_death_annual,0.0021077672652605193,0.011822839439473178,0.00138013894216071,0.0032177752006456737,0.0,0.0,0.0,0.0,0.02496,0.0,0.1248
t_chd_death_annual,0.024449574708743954,0.1145130930660473,0.021600288815029803,0.02766408177943091,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
t_noncvd_death_annual,0.14144956658662872,0.212558594674505,0.13475699842374186,0.1484175003139878,0.0,0.0,0.06666666666666667,0.3333333333333333,1.0,0.0,1.0
t_stroke_event_annual,0.12029759900798129,0.1451436517537926,0.11743230129948488,0.12311561205613913,0.0,0.0,0.09090909090909091,0.2857142857142857,0.5,0.0,1.0
t_IS_event_annual,0.08572406905308746,0.1034293662397543,0.08368162156677508,0.08773207637863778,0.0,0.0,0.06478181818181818,0.2036,0.3563,0.0,0.7126
t_HS_event_annual,0.01956038959869776,0.023600357775168015,0.019108485658704197,0.020024277173284373,0.0,0.0,0.01478181818181818,0.04645714285714286,0.0813,0.0,0.1626
t_US_event_annual,0.015013140356196063,0.018113927738873103,0.014664933823014306,0.015369903171546974,0.0,0.0,0.011345454545454546,0.03565714285714285,0.0624,0.0,0.1248
t_chd_event_annual,0.05417885157350247,0.1179728168517457,0.051914867974965445,0.05653130482829518,0.0,0.0,0.0,0.13333333333333333,0.3333333333333333,0.0,1.0
t_Cost_annual,841.6721544185201,712.4098935792491,827.7091770820667,855.6351317549735,138.48638234706382,213.88447744914447,716.8558288956715,1518.6247591210736,2519.7506175224316,95.96207729976169,9397.288674642612
t_QALY_annual,0.6963610397263897,0.13338902005236283,0.6937466629740325,0.698975416478747,0.4262903393583002,0.5017795564552662,0.7244278868060327,0.8546177773588463,0.8799999999999999,0.32257598333112986,0.8799999999999999
t_stroke_deathage,67.53673163418291,11.190129315899357,66.68751150563543,68.3859517627304,43.0,52.0,69.0,81.0,85.0,36.0,97.0
t_chd_deathage,68.53914002205072,11.841081652963986,67.76852792301229,69.30975212108915,41.0,52.0,71.0,83.0,86.0,36.0,94.0
t_noncvd_deathage,78.73569902682175,8.511736716248608,78.5539569254384,78.9174411282051,58.0,67.0,80.0,88.0,92.0,37.0,99.0
t_deathage,77.0639,9.853513381662312,76.87077468650759,77.25702531349242,53.0,64.0,79.0,88.0,92.0,36.0,99.0
t_timeperiod,13.5964,10.69002033176146,13.386879451557466,13.805920548442533,1.0,2.0,11.0,29.0,40.0,1.0,62.0
