Year,Gender,Variable,Change_mean,Change_ci_lower,Change_ci_upper,Change_unit
10 years,both,t_stroke_event,-2.2631005710000025,-2.2381839835874997,-2.2856441500874944,million
10 years,both,t_IS_event,-1.6126854668946005,-1.5984009184709527,-1.6376055513719991,million
10 years,both,t_HS_event,-0.3679801528446027,-0.3639185617535999,-0.3748848576992997,million
10 years,both,t_US_event,-0.2824349512608,-0.28025278276319987,-0.28274668961760263,million
10 years,both,t_stroke_death,-0.45461843699999993,-0.4367748195899251,-0.47211290893190005,million
10 years,both,t_IS_death,-323.9610982061974,-308.5364929681674,-339.1369023764844,thousand
10 years,both,t_HS_death,-73.92095785619752,-66.2668434956911,-81.51830116195569,thousand
10 years,both,t_US_death,-56.73638093759748,-50.02425888833433,-63.404929631190406,thousand
10 years,both,t_chd_event,-0.9541991370000001,-0.9517012334999982,-0.9591949440000002,million
10 years,both,t_chd_death,-0.09991614000000013,-0.09657186607992906,-0.10318367865014286,million
10 years,both,Cost,-16.09087894428659,-15.86497176405597,-16.31678612451715,billion
10 years,both,QALY,6.076390302739382,6.0979242439995405,6.054856361479253,million
10 years,both,t_deathage,0.6637539047138716,-0.6758100741751747,0.6516977352525686,
10 years,both,t_stroke_event_annual,-0.45503475425000023,-0.44955349159955466,-0.4645854188960418,million
10 years,both,t_IS_event_annual,-0.3242577658785507,-0.3184012811445105,-0.3320705796650471,million
10 years,both,t_HS_event_annual,-73.98865104105009,-72.9077480238906,-75.02562601647351,thousand
10 years,both,t_US_event_annual,-56.788337330399955,-55.45014476627298,-57.587924567096636,thousand
10 years,both,t_stroke_death_annual,-175.05347377261972,-162.92722487618076,-187.04528217163949,thousand
10 years,both,t_IS_death_annual,-124.74310541036806,-114.43880314127813,-134.95160538099753,thousand
10 years,both,t_HS_death_annual,-28.46369483542833,-23.533200656556744,-33.37232898941776,thousand
10 years,both,t_US_death_annual,-21.84667352682333,-17.543375896579924,-26.13319298298769,thousand
10 years,both,t_chd_event_annual,-0.1776732987529754,-0.1744569506272613,-0.1824057850923522,million
10 years,both,t_chd_death_annual,-45.4122821226198,-42.6591222009646,-48.13056555958488,thousand
10 years,both,t_noncvd_death_annual,-0.2325230964404773,-0.22664073146933644,-0.23822688443126017,million
10 years,both,t_Cost_annual,-2.9171154322530173,-2.8812571372637366,-2.952973727242298,billion
10 years,both,t_QALY_annual,0.06374968016502634,0.0659903495185636,0.06150901081148535,million
10 years,female,t_stroke_event,-1.1799710152000003,-1.1680939103799965,-1.196640636,million
10 years,female,t_IS_event,-0.8408473454315196,-0.8340594758417588,-0.8561200520084798,million
10 years,female,t_HS_event,-0.1918632870715214,-0.18935125261162664,-0.1939977903409081,million
10 years,female,t_US_event,-0.1472603826969599,-0.14548092449030398,-0.14755757822208107,million
10 years,female,t_stroke_death,-223.84919360000012,-215.23123445664316,-232.2952372921192,thousand
