Year,Gender,Variable,Base,Intervention,Change,Base Unit,Intervention Unit,Change Unit
10 years,both,t_stroke_event,"27267114.61 (26735061.16, 27799230.5)","25004014.03 (24496877.18, 25513586.35)","-2263100.57 (-2238183.98, -2285644.15)",,,
10 years,both,t_IS_event,"19430545.87 (19051360.08, 19818587.18)","17817860.4 (17452959.16, 18180981.63)","-1612685.47 (-1598400.92, -1637605.55)",,,
10 years,both,t_HS_event,"4433632.83 (4347527.1, 4521769.36)","4065652.68 (3983608.54, 4146884.5)","-367980.15 (-363918.56, -374884.86)",,,
10 years,both,t_US_event,"3402935.9 (3336847.37, 3466530.53)","3120500.95 (3056594.59, 3183783.84)","-282434.95 (-280252.78, -282746.69)",,,
10 years,both,t_stroke_death,"1571181.3 (1456461.09, 1694286.76)","1116562.86 (1019686.27, 1222173.85)","-454618.44 (-436774.82, -472112.91)",,,
10 years,both,t_IS_death,"1119623.8 (1022614.14, 1225365.49)","795662.7 (714077.65, 886228.59)","-323961.1 (-308536.49, -339136.9)",,,
10 years,both,t_HS_death,"255474.08 (210699.8, 309644.06)","181553.12 (144432.96, 228125.76)","-73920.96 (-66266.84, -81518.3)",,,
10 years,both,t_US_death,"196083.43 (157349.11, 244259.06)","139347.05 (107324.85, 180854.13)","-56736.38 (-50024.26, -63404.93)",,,
10 years,both,t_chd_event,"10431245.02 (10151479.82, 10716006.02)","9477045.88 (9199778.59, 9756811.07)","-954199.14 (-951701.23, -959194.94)",,,
10 years,both,t_chd_death,"1790996.81 (1668755.45, 1921454.6)","1691080.67 (1572183.58, 1818270.92)","-99916.14 (-96571.87, -103183.68)",,,
10 years,both,Cost,"182535641360.9 (179847635627.55, 185223647094.25)","166444762416.61 (163982663863.49, 168906860969.73)","-16090878944.29 (-15864971764.06, -16316786124.52)",,,
10 years,both,QALY,"138229986.8 (137147967.05, 139312006.55)","144306377.1 (143245891.29, 145366862.91)","6076390.3 (6097924.24, 6054856.36)",,,
10 years,both,t_deathage,"75.1 (74.79, 75.42)","75.77 (75.44, 76.09)","0.66 (-0.68, 0.65)",,,
10 years,both,t_stroke_event_annual,"3702231.99 (3620652.76, 3785658.05)","3247197.23 (3171099.27, 3321072.63)","-455034.75 (-449553.49, -464585.42)",,,
10 years,both,t_IS_event_annual,"2638210.51 (2580787.7, 2698133.36)","2313952.75 (2262386.42, 2366062.78)","-324257.77 (-318401.28, -332070.58)",,,
10 years,both,t_HS_event_annual,"601982.92 (588665.39, 615245.59)","527994.27 (515757.64, 540219.96)","-73988.65 (-72907.75, -75025.63)",,,
10 years,both,t_US_event_annual,"462038.55 (451488.19, 472070.89)","405250.21 (396038.04, 414482.96)","-56788.34 (-55450.14, -57587.92)",,,
