Year,Gender,Variable,Base,Intervention,Change,Base Unit,Intervention Unit,Change Unit
10 years,both,t_stroke_event,"27.27 (26.74, 27.8)","25.0 (24.5, 25.51)","-2.26 (-2.24, -2.29)",million,million,million
10 years,both,t_IS_event,"19.43 (19.05, 19.82)","17.82 (17.45, 18.18)","-1.61 (-1.6, -1.64)",million,million,million
10 years,both,t_HS_event,"4.43 (4.35, 4.52)","4.07 (3.98, 4.15)","-0.37 (-0.36, -0.37)",million,million,million
10 years,both,t_US_event,"3.4 (3.34, 3.47)","3.12 (3.06, 3.18)","-0.28 (-0.28, -0.28)",million,million,million
10 years,both,t_stroke_death,"1.57 (1.46, 1.69)","1.12 (1.02, 1.22)","-0.45 (-0.44, -0.47)",million,million,million
10 years,both,t_IS_death,"1119.62 (1022.61, 1225.37)","795.66 (714.08, 886.23)","-323.96 (-308.54, -339.14)",thousand,thousand,thousand
10 years,both,t_HS_death,"255.47 (210.7, 309.64)","181.55 (144.43, 228.13)","-73.92 (-66.27, -81.52)",thousand,thousand,thousand
10 years,both,t_US_death,"196.08 (157.35, 244.26)","139.35 (107.32, 180.85)","-56.74 (-50.02, -63.4)",thousand,thousand,thousand
10 years,both,t_chd_event,"10.43 (10.15, 10.72)","9.48 (9.2, 9.76)","-0.95 (-0.95, -0.96)",million,million,million
10 years,both,t_chd_death,"1.79 (1.67, 1.92)","1.69 (1.57, 1.82)","-0.1 (-0.1, -0.1)",million,million,million
10 years,both,Cost,"182.54 (179.85, 185.22)","166.44 (163.98, 168.91)","-16.09 (-15.86, -16.32)",billion,billion,billion
10 years,both,QALY,"138.23 (137.15, 139.31)","144.31 (143.25, 145.37)","6.08 (6.1, 6.05)",million,million,million
10 years,both,t_deathage,"75.1 (74.79, 75.42)","75.77 (75.44, 76.09)","0.66 (-0.68, 0.65)",,,
10 years,both,t_stroke_event_annual,"3.7 (3.62, 3.79)","3.25 (3.17, 3.32)","-0.46 (-0.45, -0.46)",million,million,million
10 years,both,t_IS_event_annual,"2.64 (2.58, 2.7)","2.31 (2.26, 2.37)","-0.32 (-0.32, -0.33)",million,million,million
10 years,both,t_HS_event_annual,"601.98 (588.67, 615.25)","527.99 (515.76, 540.22)","-73.99 (-72.91, -75.03)",thousand,thousand,thousand
10 years,both,t_US_event_annual,"462.04 (451.49, 472.07)","405.25 (396.04, 414.48)","-56.79 (-55.45, -57.59)",thousand,thousand,thousand
10 years,both,t_stroke_death_annual,"565.57 (497.19, 643.11)","390.51 (334.26, 456.06)","-175.05 (-162.93, -187.05)",thousand,thousand,thousand
10 years,both,t_IS_death_annual,"403.02 (345.82, 469.51)","278.28 (231.38, 334.56)","-124.74 (-114.44, -134.95)",thousand,thousand,thousand
10 years,both,t_HS_death_annual,"91.96 (66.7, 126.75)","63.5 (43.16, 93.37)","-28.46 (-23.53, -33.37)",thousand,thousand,thousand
10 years,both,t_US_death_annual,"70.58 (48.93, 101.77)","48.74 (31.39, 75.64)","-21.85 (-17.54, -26.13)",thousand,thousand,thousand
10 years,both,t_chd_event_annual,"1.61 (1.54, 1.67)","1.43 (1.37, 1.49)","-0.18 (-0.17, -0.18)",million,million,million
10 years,both,t_chd_death_annual,"632.97 (560.47, 714.59)","587.56 (517.81, 666.46)","-45.41 (-42.66, -48.13)",thousand,thousand,thousand
10 years,both,t_noncvd_death_annual,"2.79 (2.64, 2.95)","2.55 (2.41, 2.71)","-0.23 (-0.23, -0.24)",million,million,million
10 years,both,t_Cost_annual,"24.97 (24.57, 25.37)","22.05 (21.69, 22.41)","-2.92 (-2.88, -2.95)",billion,billion,billion
10 years,both,t_QALY_annual,"18.83 (18.79, 18.87)","18.9 (18.86, 18.94)","0.06 (0.07, 0.06)",million,million,million
10 years,female,t_stroke_event,"13.54 (13.28, 13.81)","12.36 (12.12, 12.61)","-1.18 (-1.17, -1.2)",million,million,million
10 years,female,t_IS_event,"9.65 (9.47, 9.84)","8.81 (8.64, 8.98)","-0.84 (-0.83, -0.86)",million,million,million
10 years,female,t_HS_event,"2.2 (2.16, 2.24)","2.01 (1.97, 2.05)","-0.19 (-0.19, -0.19)",million,million,million
10 years,female,t_US_event,"1.69 (1.66, 1.72)","1.54 (1.51, 1.57)","-0.15 (-0.15, -0.15)",million,million,million
10 years,female,t_stroke_death,"773.95 (718.38, 833.49)","550.1 (503.15, 601.2)","-223.85 (-215.23, -232.3)",thousand,thousand,thousand
10 years,female,t_IS_death,"551.51 (504.51, 602.67)","392.0 (352.45, 435.82)","-159.51 (-152.06, -166.85)",thousand,thousand,thousand
10 years,female,t_HS_death,"125.84 (104.12, 152.05)","89.45 (71.43, 111.97)","-36.4 (-32.69, -40.08)",thousand,thousand,thousand
10 years,female,t_US_death,"96.59 (77.79, 119.89)","68.65 (53.1, 88.72)","-27.94 (-24.69, -31.17)",thousand,thousand,thousand
10 years,female,t_chd_event,"5.13 (5.0, 5.27)","4.63 (4.5, 4.77)","-0.5 (-0.5, -0.5)",million,million,million
10 years,female,t_chd_death,"877.54 (818.49, 940.48)","841.82 (783.94, 903.62)","-35.72 (-34.55, -36.86)",thousand,thousand,thousand
10 years,female,Cost,"90.39 (89.11, 91.66)","81.86 (80.69, 83.02)","-8.53 (-8.42, -8.64)",billion,billion,billion
10 years,female,QALY,"68.05 (67.55, 68.55)","70.7 (70.21, 71.19)","2.64 (2.66, 2.63)",million,million,million
10 years,female,t_deathage,"76.89 (76.55, 77.23)","77.66 (77.31, 78.0)","0.76 (-0.77, 0.75)",,,
10 years,female,t_stroke_event_annual,"1.8 (1.76, 1.84)","1.57 (1.54, 1.61)","-0.23 (-0.22, -0.23)",million,million,million
10 years,female,t_IS_event_annual,"1.28 (1.26, 1.31)","1.12 (1.1, 1.15)","-0.16 (-0.16, -0.17)",million,million,million
10 years,female,t_HS_event_annual,"292.9 (286.48, 299.2)","255.69 (249.93, 261.47)","-37.21 (-36.54, -37.73)",thousand,thousand,thousand
10 years,female,t_US_event_annual,"224.81 (219.91, 229.69)","196.25 (191.99, 200.71)","-28.56 (-27.92, -28.99)",thousand,thousand,thousand
10 years,female,t_stroke_death_annual,"276.56 (243.53, 313.95)","190.56 (163.41, 222.13)","-86.0 (-80.12, -91.82)",thousand,thousand,thousand
10 years,female,t_IS_death_annual,"197.08 (169.44, 229.14)","135.79 (113.15, 162.9)","-61.29 (-56.29, -66.24)",thousand,thousand,thousand
10 years,female,t_HS_death_annual,"44.97 (32.75, 61.73)","30.98 (21.16, 45.36)","-13.98 (-11.59, -16.37)",thousand,thousand,thousand
10 years,female,t_US_death_annual,"34.51 (24.04, 49.54)","23.78 (15.4, 36.72)","-10.73 (-8.64, -12.81)",thousand,thousand,thousand
10 years,female,t_chd_event_annual,"777.11 (747.13, 808.0)","691.34 (663.28, 719.48)","-85.77 (-83.84, -88.52)",thousand,thousand,thousand
10 years,female,t_chd_death_annual,"308.33 (273.38, 347.62)","285.29 (251.72, 323.22)","-23.04 (-21.66, -24.4)",thousand,thousand,thousand
10 years,female,t_noncvd_death_annual,"1.09 (1.03, 1.16)","1.02 (0.95, 1.09)","-0.08 (-0.07, -0.08)",million,million,million
10 years,female,t_Cost_annual,"12.11 (11.92, 12.3)","10.64 (10.46, 10.81)","-1.47 (-1.45, -1.49)",billion,billion,billion
10 years,female,t_QALY_annual,"8.92 (8.9, 8.94)","8.96 (8.95, 8.98)","0.04 (0.04, 0.04)",million,million,million
10 years,male,t_stroke_event,"13.79 (13.51, 14.06)","12.69 (12.42, 12.96)","-1.1 (-1.09, -1.11)",million,million,million
10 years,male,t_IS_event,"9.83 (9.63, 10.02)","9.05 (8.86, 9.23)","-0.78 (-0.78, -0.79)",million,million,million
10 years,male,t_HS_event,"2.24 (2.2, 2.29)","2.06 (2.02, 2.11)","-0.18 (-0.18, -0.18)",million,million,million
10 years,male,t_US_event,"1.72 (1.69, 1.76)","1.58 (1.55, 1.62)","-0.14 (-0.14, -0.14)",million,million,million
10 years,male,t_stroke_death,"798.71 (739.52, 862.31)","567.33 (517.38, 621.87)","-231.38 (-222.14, -240.44)",thousand,thousand,thousand
10 years,male,t_IS_death,"569.16 (519.13, 623.78)","404.28 (362.23, 451.04)","-164.88 (-156.9, -172.73)",thousand,thousand,thousand
10 years,male,t_HS_death,"129.87 (106.81, 157.85)","92.25 (73.14, 116.31)","-37.62 (-33.67, -41.55)",thousand,thousand,thousand
10 years,male,t_US_death,"99.68 (79.73, 124.57)","70.8 (54.32, 92.25)","-28.88 (-25.41, -32.32)",thousand,thousand,thousand
10 years,male,t_chd_event,"5.3 (5.15, 5.45)","4.82 (4.69, 4.96)","-0.48 (-0.47, -0.48)",million,million,million
10 years,male,t_chd_death,"869.3 (807.61, 935.34)","828.78 (768.51, 893.43)","-40.52 (-39.11, -41.91)",thousand,thousand,thousand
10 years,male,Cost,"92.5 (91.1, 93.9)","84.67 (83.39, 85.96)","-7.83 (-7.71, -7.94)",billion,billion,billion
10 years,male,QALY,"70.44 (69.87, 71.02)","73.72 (73.15, 74.28)","3.28 (3.28, 3.27)",million,million,million
10 years,male,t_deathage,"73.98 (73.7, 74.27)","74.59 (74.29, 74.89)","0.61 (-0.62, 0.6)",,,
10 years,male,t_stroke_event_annual,"1.93 (1.88, 1.97)","1.69 (1.65, 1.73)","-0.24 (-0.23, -0.24)",million,million,million
