Year,Gender,Variable,Base,Intervention,Change,Base Unit,Intervention Unit,Change Unit
10 years,both,t_stroke_event,"27.27 (26.75, 27.8)","25.0 (24.5, 25.52)","2.26 (2.24, 2.29)",million,million,million
10 years,both,t_IS_event,"19.43 (19.06, 19.82)","17.82 (17.46, 18.19)","1.61 (1.6, 1.63)",million,million,million
10 years,both,t_HS_event,"4.43 (4.35, 4.52)","4.07 (3.98, 4.15)","0.37 (0.37, 0.37)",million,million,million
10 years,both,t_US_event,"3.4 (3.34, 3.47)","3.12 (3.06, 3.18)","0.28 (0.28, 0.29)",million,million,million
10 years,both,t_stroke_death,"1.57 (1.46, 1.69)","1.12 (1.02, 1.22)","0.45 (0.44, 0.47)",million,million,million
10 years,both,t_IS_death,"1119.62 (1022.61, 1225.37)","795.66 (714.08, 886.23)","323.96 (308.54, 339.14)",thousand,thousand,thousand
10 years,both,t_HS_death,"255.47 (210.7, 309.64)","181.55 (144.43, 228.13)","73.92 (66.27, 81.52)",thousand,thousand,thousand
10 years,both,t_US_death,"196.08 (157.35, 244.26)","139.35 (107.32, 180.85)","56.74 (50.02, 63.4)",thousand,thousand,thousand
10 years,both,t_chd_event,"10.43 (10.15, 10.72)","9.48 (9.2, 9.75)","0.95 (0.95, 0.96)",million,million,million
10 years,both,t_chd_death,"1.79 (1.67, 1.92)","1.69 (1.57, 1.82)","0.1 (0.1, 0.1)",million,million,million
10 years,both,Cost,"182.54 (179.85, 185.22)","166.44 (163.98, 168.91)","16.09 (15.86, 16.32)",billion,billion,billion
10 years,both,QALY,"138.23 (137.15, 139.31)","144.31 (143.25, 145.37)","6.08 (6.1, 6.05)",million,million,million
10 years,both,t_deathage,"75.1 (74.79, 75.42)","75.77 (75.44, 76.09)","0.66 (0.65, 0.68)",,,
10 years,both,t_stroke_event_annual,"3.7 (3.62, 3.78)","3.25 (3.17, 3.32)","0.46 (0.45, 0.46)",million,million,million
10 years,both,t_IS_event_annual,"2.64 (2.58, 2.7)","2.31 (2.26, 2.37)","0.32 (0.32, 0.33)",million,million,million
10 years,both,t_HS_event_annual,"601.98 (588.8, 615.59)","527.99 (515.78, 539.99)","73.99 (73.02, 75.6)",thousand,thousand,thousand
10 years,both,t_US_event_annual,"462.04 (451.77, 472.21)","405.25 (395.85, 414.81)","56.79 (55.92, 57.4)",thousand,thousand,thousand
10 years,both,t_stroke_death_annual,"565.57 (497.19, 643.11)","390.51 (334.26, 456.06)","175.05 (162.93, 187.05)",thousand,thousand,thousand
10 years,both,t_IS_death_annual,"403.02 (345.82, 469.51)","278.28 (231.38, 334.56)","124.74 (114.44, 134.95)",thousand,thousand,thousand
